STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,   MIN  ,PRCP  ,SNDP , FRSHTT,
725090,14739, 20060322,   36.5,24,   20.3,24, 1006.9,24, 1006.3,24,  10.0,24,   9.2,24,  13.0,  15.9,   46.9 ,   23.2 , 0.00I,999.9, 000000,
725090,14739, 20060323,   41.9,24,   22.7,24, 1014.2,24, 1013.6,24,  10.0,24,  11.0,24,  15.0,  21.0,   55.9 ,   31.1 , 0.00I,999.9, 000000,
725090,14739, 20060324,   42.7,24,   33.4,24, 1019.4,24, 1018.8,24,  10.0,24,   6.4,24,  13.0, 999.9,   55.9 ,   33.1 , 0.00I,999.9, 000000,
725090,14739, 20060325,   38.6,24,   31.5,24, 1016.2,24, 1015.6,24,   9.8,24,  10.3,24,  14.0, 999.9,   45.0 ,   36.0 , 0.01G,999.9, 010000,
725090,14739, 20060326,   42.1,24,   26.1,24, 1011.2,24, 1010.6,24,  10.0,24,   8.2,24,  15.0, 999.9,   50.0 ,   36.0 , 0.00G,999.9, 000000,
725090,14739, 20060327,   45.6,24,   18.6,24, 1015.1,24, 1014.5,24,  10.0,24,  11.5,24,  15.9,  20.0,   57.0 ,   36.0 , 0.00A,999.9, 000000,
725090,14739, 20060328,   44.8,24,   22.4,24, 1021.9,24, 1021.4,24,  10.0,24,   8.2,24,  13.0, 999.9,   57.0 ,   36.0 , 0.00I,999.9, 000000,
725090,14739, 20060329,   45.0,24,   28.1,24, 1022.4,24, 1021.8,24,  10.0,24,   8.1,24,  13.0, 999.9,   55.0 ,   34.0 , 0.00I,999.9, 000000,
725090,14739, 20060330,   51.1,24,   24.5,24, 1024.0,24, 1023.4,24,  10.0,24,   8.9,24,  15.0,  18.1,   59.0 ,   34.0 , 0.00I,999.9, 000000,
725090,14739, 20060331,   55.7,24,   32.6,24, 1022.0,24, 1021.5,24,   9.7,24,   9.8,24,  21.0,  27.0,   73.4*,   42.8*, 0.00I,999.9, 000000,
725090,14739, 20060401,   56.0,24,   43.6,24, 1010.2,24, 9999.9, 0,   8.8,24,  12.2,24,  19.0,  28.0,   73.0 ,   46.9 , 0.06B,999.9, 010000,
725090,14739, 20060402,   54.5,24,   29.5,24, 1009.8,24, 9999.9, 0,  10.0,24,  15.8,24,  22.0,  28.0,   70.0 ,   46.0 , 0.00I,999.9, 000000,
725090,14739, 20060403,   47.4,24,   21.6,24, 1016.9,24, 9999.9, 0,  10.0,24,   9.1,24,  18.1, 999.9,   64.0 ,   39.0 , 0.00H,999.9, 010000,
725090,14739, 20060404,   44.9,24,   39.1,24, 1002.8,22, 9999.9, 0,   7.9,24,  15.8,24,  27.0,  29.9,   52.0 ,   37.0 , 0.35G,999.9, 010000,
725090,14739, 20060405,   36.6,24,   29.8,24, 1004.3,21, 9999.9, 0,   7.4,24,   9.9,24,  19.0,  27.0,   51.1 ,   33.1 , 0.06G,999.9, 011000,
725090,14739, 20060406,   41.4,24,   27.3,24, 1006.9,24, 9999.9, 0,  10.0,24,  12.0,24,  16.9,  22.9,   53.1 ,   33.1 , 0.20G,999.9, 000000,
725090,14739, 20060407,   47.9,24,   33.5,24, 1009.0,23, 9999.9, 0,   9.6,24,  12.3,24,  23.9,  26.0,   61.0 ,   34.0 , 0.00G,999.9, 010000,
725090,14739, 20060408,   47.6,24,   36.1,24, 1005.2,22, 9999.9, 0,   9.0,24,   9.6,24,  15.9,  20.0,   61.0 ,   37.0 , 0.23G,999.9, 010000,
725090,14739, 20060409,   39.4,24,   24.3,24, 1017.5,24, 9999.9, 0,  10.0,24,   9.7,24,  13.0, 999.9,   53.1 ,   35.1 , 0.00G,999.9, 000000,
725090,14739, 20060410,   45.0,24,   27.7,24, 1021.5,24, 9999.9, 0,  10.0,24,   8.2,24,  16.9,  18.1,   57.0 ,   35.1 , 0.00I,999.9, 000000,
725090,14739, 20060411,   47.4,24,   33.7,24, 1026.4,24, 9999.9, 0,  10.0,24,   8.0,24,  13.0, 999.9,   57.9 ,   37.0 , 0.00I,999.9, 000000,
725090,14739, 20060412,   53.4,24,   36.1,24, 1028.3,24, 9999.9, 0,  10.0,24,   8.4,24,  18.1,  25.1,   69.1 ,   39.0 , 0.00I,999.9, 000000,
725090,14739, 20060413,   58.3,24,   45.9,24, 1018.2,24, 9999.9, 0,   9.9,24,  13.8,24,  19.0,  22.9,   69.1 ,   41.0 , 0.01C,999.9, 010000,
725090,14739, 20060414,   58.8,24,   41.3,24, 1011.1,24, 9999.9, 0,  10.0,24,   7.5,24,  15.0, 999.9,   69.1 ,   45.0 , 0.00A,999.9, 000000,
725090,14739, 20060415,   60.5,24,   48.4,24,  999.8,20, 9999.9, 0,   7.3,24,   9.4,24,  19.0,  27.0,   77.0 ,   45.0 , 0.03G,999.9, 010000,
