(IMPLANTATION:STENCIL_CANVAS; HEIGHT:119.0; Y:-98.0; X:-5.0; WIDTH:483.0;)
(PORTAL_WIDTH:0.0; IMPLANTATION:STENCIL_VIEW; ZOOM:1.0; HEIGHT:0.0; Y:-43.0; PORTAL_HEIGHT:0.0; X:-16.0; WIDTH:0.0;)
(HEIGHT:10.0; ID:2; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; Y:-11.0;)
(HEIGHT:10.0; ID:A; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:11.0; Y:-55.0;)
(HEIGHT:10.0; ID:B; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:22.0; Y:-22.0;)
(HEIGHT:10.0; ID:C; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:33.0; Y:-77.0;)
(HEIGHT:10.0; ID:D; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:44.0; Y:-33.0;)
(HEIGHT:10.0; ID:E; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:55.0; Y:-22.0;)
(HEIGHT:10.0; ID:F; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:66.0; Y:-22.0;)
(HEIGHT:10.0; ID:G; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:77.0; Y:-11.0;)
(HEIGHT:10.0; ID:I; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:88.0; Y:-33.0;)
(HEIGHT:10.0; ID:J; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:99.0; Y:-66.0;)
(HEIGHT:10.0; ID:K; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:110.0; Y:-55.0;)
(HEIGHT:10.0; ID:L; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:121.0; Y:-55.0;)
(HEIGHT:10.0; ID:M; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:132.0; Y:-33.0;)
(HEIGHT:10.0; ID:N; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:143.0; Y:-33.0;)
(HEIGHT:10.0; ID:O; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:154.0; Y:-11.0;)
(HEIGHT:10.0; ID:R; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:165.0; Y:-44.0;)
(HEIGHT:10.0; ID:S; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:176.0; Y:-33.0;)
(HEIGHT:10.0; ID:T; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:187.0; Y:-22.0;)
(HEIGHT:10.0; ID:U; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:198.0; Y:-22.0;)
(HEIGHT:10.0; ID:W; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:209.0; Y:-11.0;)
(HEIGHT:10.0; ID:Y; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:220.0; Y:-11.0;)
(HEIGHT:10.0; ID:[; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:231.0; Y:-11.0;)
(HEIGHT:10.0; ID:a; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:242.0; Y:-44.0;)
(HEIGHT:10.0; ID:b; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:253.0; Y:-66.0;)
(HEIGHT:10.0; ID:c; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:264.0; Y:-33.0;)
(HEIGHT:10.0; ID:d; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:275.0; Y:-44.0;)
(HEIGHT:10.0; ID:e; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:286.0; Y:-66.0;)
(HEIGHT:10.0; ID:g; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:297.0; Y:-55.0;)
(HEIGHT:10.0; ID:h; IMPLANTATION:SHAPE; REGISTRATION:BOTTOM; SIZE:10.0; WIDTH:10.0; X:308.0; Y:-66.0;)
