elapse (ns), size, refs/vals, permutation, type, i
59000,1, refs, rand, Flow,0
61000,2, refs, rand, Native,0
62000,1, refs, rand, Flow,0
65000,4, refs, linear, Native,0
66000,1, refs, rand, Flow,0
66000,1, refs, rand, Flow,0
67000,1, refs, rand, Flow,0
67000,1, refs, rand, Native,0
67000,2, refs, linear, Native,0
71000,1, refs, rand, Flow,0
72000,2, refs, linear, Native,0
73000,1, refs, rand, Native,0
74000,2, refs, linear, Flow,0
74000,2, refs, rand, Native,0
75000,2, refs, linear, Native,0
75000,2, refs, rand, Native,0
75000,2, refs, rand, Flow,0
75000,1, refs, rand, Native,0
76000,2, refs, linear, Native,0
77000,1, refs, rand, Native,0
80000,1, refs, rand, Native,0
80000,4, refs, linear, Native,0
80000,4, refs, linear, Native,0
80000,4, refs, rand, Native,0
80000,4, refs, rand, Native,0
81000,4, refs, rand, Native,0
81000,2, refs, linear, Native,0
82000,4, refs, linear, Native,0
84000,1, refs, rand, Synth,0
84000,1, refs, rand, Native,0
84000,1, refs, rand, Stencil-Flow,0
85000,1, refs, rand, Synth,0
85000,2, refs, linear, Native,0
85000,2, refs, rand, Native,0
85000,1, refs, rand, Synth,0
86000,2, refs, linear, Flow,0
86000,2, refs, linear, Flow,0
87000,2, refs, linear, Flow,0
88000,4, refs, linear, Flow,0
89000,2, refs, linear, Flow,0
90000,4, refs, linear, Native,0
91000,1, refs, rand, Synth,0
92000,1, refs, rand, Stencil-Flow,0
93000,2, refs, rand, Native,0
93000,4, refs, rand, Native,0
93000,4, refs, rand, Native,0
94000,8, refs, linear, Native,0
94000,1, refs, rand, Stencil-Flow,0
96000,4, refs, linear, Flow,0
96000,2, refs, linear, Synth,0
97000,1, refs, rand, Stencil-Flow,0
97000,2, refs, rand, Flow,0
97000,8, refs, rand, Native,0
98000,1, refs, rand, Stencil-Flow,0
99000,8, refs, linear, Native,0
100000,2, refs, linear, Synth,0
101000,16, refs, rand, Native,0
101000,1, refs, linear, Synth,0
102000,8, refs, rand, Native,0
104000,2, refs, linear, Synth,0
104000,2, refs, rand, Flow,0
104000,8, refs, linear, Native,0
104000,2, refs, rand, Flow,0
105000,2, refs, linear, Synth,0
105000,2, refs, rand, Flow,0
106000,1, refs, rand, Synth,0
108000,1, refs, rand, Stencil-State,0
109000,1, refs, rand, Stencil-State,0
109000,1, refs, rand, Stencil-Flow,0
109000,1, refs, rand, Synth,0
110000,2, refs, rand, Flow,0
111000,2, refs, rand, Stencil-State,0
112000,2, refs, linear, Flow,0
112000,8, refs, rand, Native,0
112000,4, refs, rand, Synth,0
112000,8, refs, rand, Native,0
113000,4, refs, linear, Synth,0
114000,4, refs, rand, Flow,0
114000,1, refs, rand, Stencil-State,0
114000,8, refs, linear, Native,0
115000,4, refs, linear, Flow,0
115000,4, refs, rand, Flow,0
115000,4, refs, linear, Synth,0
115000,4, refs, rand, Synth,0
116000,1, refs, rand, Stencil-State,0
116000,4, refs, linear, Synth,0
116000,4, refs, rand, Synth,0
116000,1, refs, linear, Synth,0
116000,16, refs, rand, Native,0
117000,4, refs, linear, Flow,0
118000,8, refs, rand, Native,0
118000,2, refs, rand, Native,0
119000,4, refs, linear, Native,0
119000,8, refs, linear, Synth,0
120000,16, refs, rand, Native,0
120000,4, refs, linear, Flow,0
121000,2, refs, rand, Stencil-State,0
121000,4, refs, linear, Synth,0
122000,4, refs, rand, Flow,0
122000,16, refs, rand, Native,0
122000,4, refs, rand, Flow,0
123000,4, refs, rand, Synth,0
123000,8, refs, linear, Native,0
123000,4, refs, linear, Synth,0
124000,4, refs, rand, Flow,0
125000,1, refs, linear, Synth,0
125000,1, refs, linear, Synth,0
125000,2, refs, linear, Stencil-Flow,0
126000,8, refs, rand, Native,0
126000,1, refs, rand, Stencil-State,0
127000,4, refs, rand, Native,0
127000,2, refs, linear, Stencil-State,0
128000,1, refs, linear, Synth,0
129000,1, refs, rand, Stencil-State,0
129000,2, refs, linear, Synth,0
129000,2, refs, linear, Stencil-Flow,0
129000,2, refs, rand, Stencil-State,0
130000,2, refs, linear, Synth,0
130000,2, refs, linear, Stencil-State,0
132000,2, refs, linear, Stencil-State,0
132000,1, refs, linear, Synth,0
132000,2, refs, linear, Stencil-State,0
133000,2, refs, rand, Stencil-State,0
134000,4, refs, linear, Synth,0
134000,4, refs, rand, Synth,0
135000,8, refs, linear, Native,0
136000,2, refs, rand, Stencil-State,0
136000,1, refs, linear, Stencil-Flow,0
136000,2, refs, linear, Stencil-Flow,0
137000,2, refs, linear, Stencil-State,0
138000,32, refs, linear, Native,0
138000,4, refs, rand, Flow,0
141000,32, refs, rand, Native,0
141000,1, refs, linear, Stencil-Flow,0
142000,4, refs, linear, Flow,0
142000,4, refs, rand, Synth,0
154000,2, refs, linear, Stencil-Flow,0
155000,1, refs, linear, Stencil-Flow,0
159000,4, refs, linear, Stencil-State,0
160000,2, refs, linear, Stencil-State,0
161000,32, refs, linear, Native,0
161000,16, refs, rand, Native,0
163000,8, refs, linear, Synth,0
164000,32, refs, rand, Native,0
165000,16, refs, rand, Native,0
165000,8, refs, linear, Synth,0
166000,4, refs, linear, Stencil-State,0
167000,2, refs, linear, Stencil-Flow,0
167000,4, refs, rand, Stencil-State,0
168000,32, refs, linear, Native,0
168000,4, refs, rand, Stencil-State,0
169000,8, refs, linear, Synth,0
169000,32, refs, rand, Native,0
170000,4, refs, rand, Stencil-State,0
170000,2, refs, linear, Stencil-Flow,0
171000,1, refs, linear, Stencil-Flow,0
173000,32, refs, linear, Native,0
175000,32, refs, linear, Native,0
176000,8, refs, linear, Synth,0
177000,4, refs, linear, Stencil-State,0
177000,4, refs, rand, Stencil-State,0
177000,32, refs, rand, Native,0
177000,1, refs, linear, Native,0
178000,4, refs, rand, Stencil-Flow,0
178000,4, refs, rand, Stencil-Flow,0
179000,8, refs, linear, Stencil-State,0
179000,4, refs, linear, Stencil-State,0
179000,32, refs, linear, Native,0
180000,1, refs, linear, Native,0
180000,32, refs, rand, Native,0
181000,1, refs, linear, Stencil-Flow,0
183000,4, refs, linear, Stencil-Flow,0
184000,8, refs, linear, Flow,0
184000,8, refs, rand, Flow,0
184000,8, refs, linear, Flow,0
185000,4, refs, linear, Stencil-State,0
186000,16, refs, linear, Native,0
186000,8, refs, rand, Flow,0
187000,4, refs, rand, Stencil-State,0
188000,8, refs, rand, Flow,0
188000,8, refs, linear, Flow,0
190000,1, refs, linear, Stencil-Flow,0
190000,2, refs, rand, Stencil-State,0
191000,8, refs, linear, Synth,0
194000,8, refs, linear, Flow,0
194000,8, refs, linear, Flow,0
194000,2, refs, rand, Stencil-Flow,0
196000,32, refs, rand, Native,0
196000,16, refs, linear, Native,0
197000,4, refs, linear, Stencil-Flow,0
198000,16, refs, rand, Synth,0
198000,16, refs, linear, Native,0
200000,2, refs, rand, Stencil-Flow,0
200000,1, refs, linear, Native,0
201000,4, refs, rand, Stencil-State,0
205000,16, refs, linear, Native,0
207000,4, refs, linear, Stencil-State,0
209000,2, refs, rand, Stencil-Flow,0
209000,16, refs, linear, Synth,0
210000,4, refs, rand, Stencil-Flow,0
211000,16, refs, linear, Native,0
212000,4, refs, rand, Stencil-Flow,0
213000,1, refs, linear, Native,0
213000,8, refs, linear, Flow,0
217000,64, refs, linear, Native,0
219000,64, refs, rand, Native,0
219000,4, refs, linear, Stencil-Flow,0
219000,4, refs, rand, Stencil-Flow,0
222000,4, refs, linear, Stencil-Flow,0
223000,16, refs, linear, Synth,0
225000,16, refs, linear, Native,0
228000,8, refs, rand, Flow,0
231000,4, refs, rand, Stencil-Flow,0
232000,8, refs, linear, Stencil-State,0
233000,4, refs, linear, Stencil-Flow,0
234000,1, refs, linear, Native,0
234000,4, refs, linear, Stencil-Flow,0
238000,8, refs, linear, Stencil-State,0
243000,64, refs, rand, Native,0
247000,1, refs, linear, Native,0
247000,8, refs, linear, Stencil-State,0
250000,16, refs, rand, Flow,0
250000,16, refs, rand, Flow,0
252000,8, refs, rand, Flow,0
252000,64, refs, linear, Native,0
253000,8, refs, linear, Stencil-State,0
253000,16, refs, linear, Flow,0
254000,16, refs, linear, Synth,0
255000,8, refs, linear, Stencil-State,0
255000,16, refs, linear, Synth,0
255000,16, refs, rand, Synth,0
257000,16, refs, linear, Synth,0
257000,16, refs, rand, Synth,0
258000,16, refs, rand, Synth,0
260000,64, refs, linear, Native,0
263000,64, refs, rand, Native,0
267000,16, refs, rand, Synth,0
268000,64, refs, rand, Native,0
270000,16, refs, rand, Synth,0
271000,16, refs, linear, Stencil-State,0
