elapse (ns), size, refs/vals, permutation, type, i
2250091000, 1, refs, linear, Flow, 0
94000, 1, refs, linear, Flow, 1
117000, 1, refs, linear, Flow, 2
96000, 1, refs, linear, Flow, 3
112000, 1, refs, linear, Flow, 4
117000, 1, refs, linear, Flow, 5
120000, 1, refs, linear, Flow, 6
97000, 1, refs, linear, Flow, 7
94000, 1, refs, linear, Flow, 8
120000, 1, refs, linear, Flow, 9
261000, 1, refs, linear, Native, 0
121000, 1, refs, linear, Native, 1
123000, 1, refs, linear, Native, 2
122000, 1, refs, linear, Native, 3
116000, 1, refs, linear, Native, 4
93000, 1, refs, linear, Native, 5
125000, 1, refs, linear, Native, 6
98000, 1, refs, linear, Native, 7
96000, 1, refs, linear, Native, 8
125000, 1, refs, linear, Native, 9
169000, 1, refs, linear, Synth, 0
141000, 1, refs, linear, Synth, 1
136000, 1, refs, linear, Synth, 2
1744000, 1, refs, linear, Synth, 3
136000, 1, refs, linear, Synth, 4
3136000, 1, refs, linear, Synth, 5
276000, 1, refs, linear, Synth, 6
120000, 1, refs, linear, Synth, 7
123000, 1, refs, linear, Synth, 8
128000, 1, refs, linear, Synth, 9
47721000, 1, refs, linear, Stencil, 0
190000, 1, refs, linear, Stencil, 1
149000, 1, refs, linear, Stencil, 2
147000, 1, refs, linear, Stencil, 3
139000, 1, refs, linear, Stencil, 4
1831000, 1, refs, linear, Stencil, 5
215000, 1, refs, linear, Stencil, 6
142000, 1, refs, linear, Stencil, 7
252000, 1, refs, linear, Stencil, 8
280000, 1, refs, linear, Stencil, 9
203000, 1, refs, rand, Flow, 0
203000, 1, refs, rand, Flow, 1
115000, 1, refs, rand, Flow, 2
182000, 1, refs, rand, Flow, 3
190000, 1, refs, rand, Flow, 4
686000, 1, refs, rand, Flow, 5
109000, 1, refs, rand, Flow, 6
1432000, 1, refs, rand, Flow, 7
197000, 1, refs, rand, Flow, 8
1382000, 1, refs, rand, Flow, 9
1371000, 1, refs, rand, Native, 0
1500000, 1, refs, rand, Native, 1
82000, 1, refs, rand, Native, 2
170000, 1, refs, rand, Native, 3
82000, 1, refs, rand, Native, 4
203000, 1, refs, rand, Native, 5
207000, 1, refs, rand, Native, 6
1438000, 1, refs, rand, Native, 7
165000, 1, refs, rand, Native, 8
1375000, 1, refs, rand, Native, 9
94000, 1, refs, rand, Synth, 0
254000, 1, refs, rand, Synth, 1
238000, 1, refs, rand, Synth, 2
94000, 1, refs, rand, Synth, 3
191000, 1, refs, rand, Synth, 4
187000, 1, refs, rand, Synth, 5
97000, 1, refs, rand, Synth, 6
97000, 1, refs, rand, Synth, 7
1444000, 1, refs, rand, Synth, 8
99000, 1, refs, rand, Synth, 9
197000, 1, refs, rand, Stencil, 0
