time,type,value
91,Infectious,14
91,Recovered,0
91,Susceptible,999992
92,Infectious,16
92,Recovered,0
92,Susceptible,999985
93,Infectious,19
93,Recovered,3
93,Susceptible,999978
94,Infectious,27
94,Recovered,6
94,Susceptible,999967
95,Infectious,26
95,Recovered,18
95,Susceptible,999956
96,Infectious,32
96,Recovered,27
96,Susceptible,999941
97,Infectious,40
97,Recovered,36
97,Susceptible,999924
98,Infectious,51
98,Recovered,48
98,Susceptible,999901
99,Infectious,71
99,Recovered,62
99,Susceptible,999867
100,Infectious,102
100,Recovered,80
100,Susceptible,999818
101,Infectious,138
101,Recovered,114
101,Susceptible,999748
102,Infectious,169
102,Recovered,168
102,Susceptible,999663
103,Infectious,223
103,Recovered,221
103,Susceptible,999556
104,Infectious,306
104,Recovered,285
104,Susceptible,999409
105,Infectious,408
105,Recovered,381
105,Susceptible,999211
106,Infectious,525
106,Recovered,514
106,Susceptible,998961
107,Infectious,708
107,Recovered,687
107,Susceptible,998605
108,Infectious,950
108,Recovered,920
108,Susceptible,998130
109,Infectious,1247
109,Recovered,1244
109,Susceptible,997509
110,Infectious,1588
110,Recovered,1675
110,Susceptible,996737
111,Infectious,2115
111,Recovered,2177
111,Susceptible,995708
112,Infectious,2785
112,Recovered,2879
112,Susceptible,994336
113,Infectious,3590
113,Recovered,3823
113,Susceptible,992587
114,Infectious,4722
114,Recovered,5030
114,Susceptible,990248
115,Infectious,6191
115,Recovered,6626
115,Susceptible,987183
116,Infectious,8144
116,Recovered,8682
116,Susceptible,983174
117,Infectious,10630
117,Recovered,11344
117,Susceptible,978026
118,Infectious,13956
118,Recovered,14829
118,Susceptible,971215
119,Infectious,18159
119,Recovered,19573
119,Susceptible,962268
120,Infectious,23610
120,Recovered,25539
120,Susceptible,950851
121,Infectious,30785
121,Recovered,33261
121,Susceptible,935954
122,Infectious,39605
122,Recovered,43472
122,Susceptible,916923
123,Infectious,50222
123,Recovered,56558
123,Susceptible,893220
124,Infectious,63613
124,Recovered,72955
124,Susceptible,863432
125,Infectious,79058
125,Recovered,93956
125,Susceptible,826986
126,Infectious,96265
126,Recovered,120015
126,Susceptible,783720
127,Infectious,114037
127,Recovered,152075
127,Susceptible,733888
128,Infectious,131758
128,Recovered,189596
128,Susceptible,678646
129,Infectious,147394
129,Recovered,233146
129,Susceptible,619460
130,Infectious,158711
130,Recovered,281846
130,Susceptible,559443
131,Infectious,165179
131,Recovered,334136
131,Susceptible,500685
132,Infectious,165449
132,Recovered,388692
132,Susceptible,445859
133,Infectious,159238
133,Recovered,443341
133,Susceptible,397421
134,Infectious,148436
134,Recovered,495810
134,Susceptible,355754
135,Infectious,134534
135,Recovered,544599
135,Susceptible,320867
136,Infectious,118562
136,Recovered,588853
136,Susceptible,292585
137,Infectious,102370
137,Recovered,627840
137,Susceptible,269790
138,Infectious,86459
138,Recovered,661779
138,Susceptible,251762
139,Infectious,72454
139,Recovered,690064
139,Susceptible,237482
140,Infectious,59806
140,Recovered,713995
140,Susceptible,226199
141,Infectious,49120
141,Recovered,733677
141,Susceptible,217203
142,Infectious,39747
142,Recovered,749977
142,Susceptible,210276
143,Infectious,32073
143,Recovered,763128
143,Susceptible,204799
144,Infectious,25830
144,Recovered,773818
144,Susceptible,200352
145,Infectious,20660
145,Recovered,782396
145,Susceptible,196944
146,Infectious,16533
146,Recovered,789215
146,Susceptible,194252
147,Infectious,13239
147,Recovered,794628
147,Susceptible,192133
148,Infectious,10511
148,Recovered,799015
148,Susceptible,190474
149,Infectious,8329
149,Recovered,802510
149,Susceptible,189161
150,Infectious,6622
150,Recovered,805282
150,Susceptible,188096
151,Infectious,5289
151,Recovered,807433
151,Susceptible,187278
152,Infectious,4196
152,Recovered,809184
152,Susceptible,186620
153,Infectious,3345
153,Recovered,810556
153,Susceptible,186099
154,Infectious,2642
154,Recovered,811672
154,Susceptible,185686
155,Infectious,2075
155,Recovered,812540
155,Susceptible,185385
156,Infectious,1619
156,Recovered,813244
156,Susceptible,185137
157,Infectious,1286
157,Recovered,813757
157,Susceptible,184957
158,Infectious,1002
158,Recovered,814188
158,Susceptible,184810
159,Infectious,808
159,Recovered,814505
159,Susceptible,184687
160,Infectious,646
160,Recovered,814770
160,Susceptible,184584
161,Infectious,519
161,Recovered,814979
161,Susceptible,184502
162,Infectious,421
162,Recovered,815139
162,Susceptible,184440
163,Infectious,334
163,Recovered,815280
163,Susceptible,184386
164,Infectious,272
164,Recovered,815386
164,Susceptible,184342
165,Infectious,209
165,Recovered,815477
165,Susceptible,184314
166,Infectious,148
166,Recovered,815556
166,Susceptible,184296
167,Infectious,120
167,Recovered,815605
167,Susceptible,184275
168,Infectious,99
168,Recovered,815641
168,Susceptible,184260
169,Infectious,74
169,Recovered,815676
169,Susceptible,184250
170,Infectious,66
170,Recovered,815698
170,Susceptible,184236
171,Infectious,53
171,Recovered,815715
171,Susceptible,184232
172,Infectious,45
172,Recovered,815731
172,Susceptible,184224
173,Infectious,36
173,Recovered,815746
173,Susceptible,184218
174,Infectious,29
174,Recovered,815757
174,Susceptible,184214
175,Infectious,29
175,Recovered,815764
175,Susceptible,184207
176,Infectious,23
176,Recovered,815773
176,Susceptible,184204
177,Infectious,16
177,Recovered,815782
177,Susceptible,184202
178,Infectious,12
178,Recovered,815788
178,Susceptible,184200
179,Infectious,8
179,Recovered,815793
179,Susceptible,184199
180,Infectious,6
180,Recovered,815795
180,Susceptible,184199
181,Infectious,6
181,Recovered,815796
181,Susceptible,184198
182,Infectious,5
182,Recovered,815797
182,Susceptible,184198
183,Infectious,5
183,Recovered,815797
183,Susceptible,184198
184,Infectious,3
184,Recovered,815799
184,Susceptible,184198
185,Infectious,3
185,Recovered,815799
185,Susceptible,184198
186,Infectious,2
186,Recovered,815800
186,Susceptible,184198
187,Infectious,0
187,Recovered,815802
187,Susceptible,184198
188,Infectious,0
188,Recovered,815802
188,Susceptible,184198
189,Infectious,0
189,Recovered,815802
189,Susceptible,184198
190,Infectious,0
190,Recovered,815802
190,Susceptible,184198
191,Infectious,0
191,Recovered,815802
191,Susceptible,184198
192,Infectious,0
192,Recovered,815802
192,Susceptible,184198
193,Infectious,0
193,Recovered,815802
193,Susceptible,184198
194,Infectious,0
194,Recovered,815802
194,Susceptible,184198
195,Infectious,0
195,Recovered,815802
195,Susceptible,184198
196,Infectious,0
196,Recovered,815802
196,Susceptible,184198
197,Infectious,0
197,Recovered,815802
