Line, Visible
Susceptible,true
Recovered,true
Infectious,true
Susceptible,false
Recovered,true
Infectious,true
Susceptible,false
Recovered,true
Infectious,true
Susceptible,false
Recovered,false
Infectious,true
Susceptible,true
Recovered,false
Infectious,true
Susceptible,true
Recovered,false
Infectious,false
Susceptible,true
Recovered,false
Infectious,false
Susceptible,true
Recovered,true
Infectious,true
Susceptible,true
Recovered,true
Infectious,false
Susceptible,true
Recovered,true
Infectious,false
Susceptible,true
Recovered,true
Infectious,false
Susceptible,false
Recovered,false
Infectious,true
Susceptible,true
Recovered,true
