"count" , "type" , "month"
26 , 1. % CLIENTELE FEMALE , Jan
21 , 1. % CLIENTELE FEMALE , Feb
26 , 1. % CLIENTELE FEMALE , Mar
28 , 1. % CLIENTELE FEMALE , Apr
20 , 1. % CLIENTELE FEMALE , May
20 , 1. % CLIENTELE FEMALE , Jun
20 , 1. % CLIENTELE FEMALE , Jul
20 , 1. % CLIENTELE FEMALE , Aug
20 , 1. % CLIENTELE FEMALE , Sep
40 , 1. % CLIENTELE FEMALE , Oct
15 , 1. % CLIENTELE FEMALE , Nov
40 , 1. % CLIENTELE FEMALE , Dec
69 , 2. % CLIENTELE LOCAL , Jan
70 , 2. % CLIENTELE LOCAL , Feb
77 , 2. % CLIENTELE LOCAL , Mar
71 , 2. % CLIENTELE LOCAL , Apr
37 , 2. % CLIENTELE LOCAL , May
36 , 2. % CLIENTELE LOCAL , Jun
39 , 2. % CLIENTELE LOCAL , Jul
39 , 2. % CLIENTELE LOCAL , Aug
55 , 2. % CLIENTELE LOCAL , Sep
60 , 2. % CLIENTELE LOCAL , Oct
68 , 2. % CLIENTELE LOCAL , Nov
72 , 2. % CLIENTELE LOCAL , Dec
7 , 3. % CLIENTELE USA , Jan
6 , 3. % CLIENTELE USA , Feb
3 , 3. % CLIENTELE USA , Mar
6 , 3. % CLIENTELE USA , Apr
23 , 3. % CLIENTELE USA , May
14 , 3. % CLIENTELE USA , Jun
19 , 3. % CLIENTELE USA , Jul
14 , 3. % CLIENTELE USA , Aug
9 , 3. % CLIENTELE USA , Sep
6 , 3. % CLIENTELE USA , Oct
8 , 3. % CLIENTELE USA , Nov
8 , 3. % CLIENTELE USA , Dec
0 , 4. % CLIENTELE SOUTH-AMERICA , Jan
0 , 4. % CLIENTELE SOUTH-AMERICA , Feb
0 , 4. % CLIENTELE SOUTH-AMERICA , Mar
0 , 4. % CLIENTELE SOUTH-AMERICA , Apr
8 , 4. % CLIENTELE SOUTH-AMERICA , May
6 , 4. % CLIENTELE SOUTH-AMERICA , Jun
6 , 4. % CLIENTELE SOUTH-AMERICA , Jul
4 , 4. % CLIENTELE SOUTH-AMERICA , Aug
2 , 4. % CLIENTELE SOUTH-AMERICA , Sep
12 , 4. % CLIENTELE SOUTH-AMERICA , Oct
