State,Children 18 and under,Adults 19-64,Elderly 65+,All
United States,0.23,0.15,0.13,0.17
Alabama,0.27,0.17,0.14,0.20
Alaska,0.14,0.11,0.07,0.12
Arizona,0.28,0.18,0.11,0.20
Arkansas,0.28,0.17,0.16,0.20
California,0.24,0.17,0.14,0.19
Colorado,0.16,0.11,0.12,0.13
Connecticut,0.17,0.11,0.09,0.13
Delaware,0.21,0.13,0.11,0.15
District of Columbia,0.37,0.19,0.21,0.23
Florida,0.22,0.15,0.14,0.17
Georgia,0.25,0.16,0.15,0.18
Hawaii,0.18,0.15,0.14,0.16
Idaho,0.17,0.12,0.08,0.13
Illinois,0.20,0.14,0.11,0.15
Indiana,0.20,0.14,0.10,0.15
Iowa,0.18,0.12,0.07,0.13
Kansas,0.22,0.13,0.08,0.15
Kentucky,0.27,0.19,0.14,0.20
Louisiana,0.30,0.21,0.16,0.23
Maine,0.17,0.13,0.10,0.13
Maryland,0.18,0.13,0.13,0.14
Massachusetts,0.19,0.15,0.14,0.16
Michigan,0.21,0.15,0.11,0.16
Minnesota,0.15,0.11,0.07,0.12
Mississippi,0.37,0.24,0.23,0.27
Missouri,0.24,0.13,0.09,0.15
Montana,0.20,0.14,0.10,0.15
Nebraska,0.17,0.12,0.09,0.13
Nevada,0.20,0.13,0.09,0.14
New Hampshire,0.09,0.09,0.07,0.09
New Jersey,0.16,0.12,0.15,0.14
New Mexico,0.26,0.19,0.17,0.21
New York,0.25,0.18,0.18,0.20
North Carolina,0.26,0.17,0.14,0.19
North Dakota,0.18,0.11,0.09,0.13
Ohio,0.23,0.15,0.09,0.17
Oklahoma,0.26,0.17,0.14,0.19
Oregon,0.22,0.16,0.12,0.17
Pennsylvania,0.20,0.14,0.10,0.15
Rhode Island,0.19,0.13,0.12,0.14
South Carolina,0.26,0.16,0.13,0.18
South Dakota,0.17,0.11,0.11,0.12
Tennessee,0.27,0.17,0.15,0.20
Texas,0.29,0.19,0.17,0.22
Utah,0.16,0.12,0.10,0.13
Vermont,0.14,0.11,0.11,0.12
Virginia,0.19,0.11,0.12,0.13
Washington,0.16,0.13,0.09,0.13
West Virginia,0.27,0.18,0.13,0.19
Wisconsin,0.19,0.12,0.12,0.13
Wyoming,0.17,0.13,0.09,0.13
