(BACKGROUND_COLOR:@Color{255,255,255}; X:0.0; Y:122.0; WIDTH:311.0; HEIGHT:158.0; RIGHT:311.0; BOTTOM:280.0;)
(ZOOM:1.0; X:0.0; Y:0.0; WIDTH:0.0; HEIGHT:0.0; PORTAL_WIDTH:0.0; PORTAL_HEIGHT:0.0; BOTTOM:0.0; RIGHT:0.0;)
(ID:Eight; TEXT:Eight; FONT:@Font{family:Helvetica; size:12.0; bold:false; italic:false;}; X:280.0; Y:0.0; ROTATION:1.5271630954950384; WIDTH:-1.0; HEIGHT:-1.0; JUSTIFY:CENTER; IMPLANT:AREA; COLOR:@Color{0,0,0}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Float[x=267.92548,y=1.0851581,w=11.577423,h=27.377071]; #TYPE:TEXT; #DYNAMIC_STORE:[null];)
(ID:Five; TEXT:Five; FONT:@Font{family:Helvetica; size:12.0; bold:false; italic:false;}; X:160.0; Y:0.0; ROTATION:0.8726646259971648; WIDTH:-1.0; HEIGHT:-1.0; JUSTIFY:CENTER; IMPLANT:AREA; COLOR:@Color{0,0,0}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Float[x=152.99866,y=1.6806267,w=17.472473,h=20.766432]; #TYPE:TEXT; #DYNAMIC_STORE:[null];)
(ID:Four; TEXT:Four; FONT:@Font{family:Helvetica; size:12.0; bold:false; italic:false;}; X:120.0; Y:0.0; ROTATION:0.6544984694978736; WIDTH:-1.0; HEIGHT:-1.0; JUSTIFY:CENTER; IMPLANT:AREA; COLOR:@Color{0,0,0}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Float[x=114.72588,y=1.7290248,w=22.793663,h=20.119225]; #TYPE:TEXT; #DYNAMIC_STORE:[null];)
(ID:One; TEXT:One; FONT:@Font{family:Helvetica; size:12.0; bold:false; italic:false;}; X:0.0; Y:0.0; ROTATION:0.0; WIDTH:-1.0; HEIGHT:-1.0; JUSTIFY:CENTER; IMPLANT:AREA; COLOR:@Color{0,0,0}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Float[x=0.46875,y=1.1582031,w=21.683594,h=9.09375]; #TYPE:TEXT; #DYNAMIC_STORE:[null];)
(ID:Seven; TEXT:Seven; FONT:@Font{family:Helvetica; size:12.0; bold:false; italic:false;}; X:240.0; Y:0.0; ROTATION:1.3089969389957472; WIDTH:-1.0; HEIGHT:-1.0; JUSTIFY:CENTER; IMPLANT:AREA; COLOR:@Color{0,0,0}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Float[x=230.71307,y=1.527149,w=14.408051,h=33.794983]; #TYPE:TEXT; #DYNAMIC_STORE:[null];)
(ID:Six; TEXT:Six; FONT:@Font{family:Helvetica; size:12.0; bold:false; italic:false;}; X:200.0; Y:0.0; ROTATION:1.0908307824964558; WIDTH:-1.0; HEIGHT:-1.0; JUSTIFY:CENTER; IMPLANT:AREA; COLOR:@Color{0,0,0}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Float[x=192.00487,y=1.9993318,w=12.387939,h=17.53622]; #TYPE:TEXT; #DYNAMIC_STORE:[null];)
(ID:Three; TEXT:Three; FONT:@Font{family:Helvetica; size:12.0; bold:false; italic:false;}; X:80.0; Y:0.0; ROTATION:0.4363323129985824; WIDTH:-1.0; HEIGHT:-1.0; JUSTIFY:CENTER; IMPLANT:AREA; COLOR:@Color{0,0,0}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Float[x=78.577705,y=1.3438216,w=27.284668,h=20.278446]; #TYPE:TEXT; #DYNAMIC_STORE:[null];)
(ID:Two; TEXT:Two; FONT:@Font{family:Helvetica; size:12.0; bold:false; italic:false;}; X:40.0; Y:0.0; ROTATION:0.2181661564992912; WIDTH:-1.0; HEIGHT:-1.0; JUSTIFY:CENTER; IMPLANT:AREA; COLOR:@Color{0,0,0}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Float[x=39.665432,y=1.401419,w=20.884995,h=13.068576]; #TYPE:TEXT; #DYNAMIC_STORE:[null];)
(ID:EightTL; SHAPE:CROSS; ROTATION:1.5271630954950384; SIZE:30.0; WIDTH:5.0; HEIGHT:5.0; X:280.0; Y:40.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=250.02855335254426,y=-40.0,w=31.280028268415805,h=31.280028268415816]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:FiveTL; SHAPE:CROSS; ROTATION:0.8726646259971648; SIZE:30.0; WIDTH:5.0; HEIGHT:5.0; X:160.0; Y:40.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=137.01866670643065,y=-40.0,w=42.26496158416552,h=42.26496158416552]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:FourTL; SHAPE:CROSS; ROTATION:0.6544984694978736; SIZE:30.0; WIDTH:5.0; HEIGHT:5.0; X:120.0; Y:40.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=101.73715712973838,y=-40.0,w=42.063443078998674,h=42.063443078998674]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:OneTL; SHAPE:CROSS; ROTATION:0.0; SIZE:30.0; WIDTH:5.0; HEIGHT:5.0; X:0.0; Y:40.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=0.0,y=-40.0,w=30.0,h=30.0]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:SevenTL; SHAPE:CROSS; ROTATION:1.3089969389957472; SIZE:30.0; WIDTH:5.0; HEIGHT:5.0; X:240.0; Y:40.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=211.02222521132796,y=-40.0,w=36.742346141747646,h=36.742346141747674]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:SixTL; SHAPE:CROSS; ROTATION:1.0908307824964558; SIZE:30.0; WIDTH:5.0; HEIGHT:5.0; X:200.0; Y:40.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=173.38967500465336,y=-40.0,w=40.462783392397654,h=40.46278339239767]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:ThreeTL; SHAPE:CROSS; ROTATION:0.4363323129985824; SIZE:30.0; WIDTH:5.0; HEIGHT:5.0; X:80.0; Y:40.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=67.32145214777901,y=-40.0,w=39.86778146332048,h=39.86778146332048]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:TwoTL; SHAPE:CROSS; ROTATION:0.2181661564992912; SIZE:30.0; WIDTH:5.0; HEIGHT:5.0; X:40.0; Y:40.0; IMPLANT:AREA; FILL_COLOR:@Color{255,0,0}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:TOP_LEFT; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=33.506811581856915,y=-40.0,w=35.78206863174109,h=35.78206863174109]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:EightCenter; SHAPE:CROSS; ROTATION:1.5638150097869195; SIZE:30.0; WIDTH:5.0; HEIGHT:5.0; X:295.0; Y:100.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=279.8956466349497,y=-115.10435336505034,w=30.208706730100687,h=30.208706730100687]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:FiveCenter; SHAPE:CROSS; ROTATION:0.8936085770210968; SIZE:30.0; WIDTH:5.0; HEIGHT:5.0; X:175.0; Y:100.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=153.91087335556097,y=-121.08912664443902,w=42.17825328887804,h=42.17825328887804]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
(ID:FourCenter; SHAPE:CROSS; ROTATION:0.6702064327658227; SIZE:30.0; WIDTH:5.0; HEIGHT:5.0; X:135.0; Y:100.0; IMPLANT:AREA; FILL_COLOR:@Color{0,0,255}; PEN_COLOR:@Color{0,0,0,0}; PEN:@Stroke{width:1.0; join:1; cap:1; pattern:[null]; phase:0.0; limit:15.0;}; VISIBLE:true; REGISTRATION:CENTER; Z:0.0; BOUNDS:java.awt.geom.Rectangle2D$Double[x=113.92738143593775,y=-121.07261856406225,w=42.145237128124506,h=42.145237128124506]; #TYPE:SHAPE; #DYNAMIC_STORE:[null];)
