ID       	X   Y
"collective"       	95.852867	67.091820
"a-a-p"            	85.034691	52.196316
"a-ads-xml"        	-43.851669	455.493683
"a-chat"           	-96.538994	-24.315342
"a-k-i-r-a"        	141.751999	191.766296
"a-m-s"            	211.495834	-306.013245
"a-muse-3d"        	-212.223190	-60.492630
"a-note"           	-356.558167	-168.527222
"a-renet"          	-119.794044	-324.541260
"a-s-m"            	507.487457	114.102600
"a2bformat"        	-112.870430	-244.452866
"Stuff"              0           0
