ID|ATT
"a2ixlibrary"|C
"a2ixlibrary"|AmigaOS
"a2ixlibrary"|Developers
"a2ixlibrary"|Beta
"a2ixlibrary"|Build Tools
"a2ixlibrary"|Public Domain
"a2j"|OS Independent (Written in an interpreted language)
"a2j"|Java
"a2j"|Code Generators
"a2j"|GNU Library or Lesser General Public License (LGPL)
"a2j"|Developers
"a2j"|Communications
"a2j"|Production/Stable
"a2pix"|Developers
"a2pix"|Emulators
"a2pix"|Carbon (Mac OS X)
"a2pix"|Viewers
"a2pix"|Classic 8-bit Operating Systems (Apple, Atari, Commodore, etc.)
"a2pix"|GNU Library or Lesser General Public License (LGPL)
"a2pix"|OS X
"a2pix"|C++
"a2pix"|Project is a graphics toolkit
"a2pix"|End Users/Desktop
"a2pix"|Beta
"a2z"|Database
"a2z"|Telephony
"a2z"|OS Independent (Written in an interpreted language)
"a2z"|All POSIX (Linux/BSD/UNIX-like OSes)
"a2z"|Production/Stable
"a2z"|Developers
"a2z"|System Administrators
"a2z"|PHP
"a2z"|End Users/Desktop
"a2z"|GNU General Public License (GPL)
"a2z"|Beta
"a2z"|Office/Business
"a2z"|Web-based
"a340gc"|Linux
"a340gc"|C
"a340gc"|X Window System (X11)
"a340gc"|All 32-bit MS Windows (95/98/NT/2000/XP)
"a340gc"|All POSIX (Linux/BSD/UNIX-like OSes)
"a340gc"|Developers
"a340gc"|Win32 (MS Windows)
"a340gc"|Simulation
"a340gc"|Alpha
"a340gc"|GNU General Public License (GPL)
"a340gc"|C++
"a340gc"|Visualization
"a340gc"|OS Independent (Written in an interpreted language)
"a340gc"|End Users/Desktop
"a340gc"|Planning
"a3dge"|Planning
"a3dge"|X Window System (X11)
"a3dge"|End Users/Desktop
"a3dge"|Developers
"a3dge"|Games/Entertainment
"a3dge"|C
"a3dge"|OS Portable (Source code to work with many OS platforms)
"a3dge"|Win32 (MS Windows)
"a3dge"|C++
"a3dge"|Other Audience
"a3dge"|Software Development
"a3dge"|3D Rendering
"a3dge"|Public Domain
"a3dge"|Education
"a3dpi"|Delphi/Kylix
"a3dpi"|Editors
"a3dpi"|32-bit MS Windows (NT/2000/XP)
"a3dpi"|Developers
"a3dpi"|Planning
"a3dpi"|Win32 (MS Windows)
"a3dpi"|GNU General Public License (GPL)
"a3dpi"|Win2K
"a3dpi"|All 32-bit MS Windows (95/98/NT/2000/XP)
"a3dpi"|WinXP
"a3dsgl"|C++
"a3dsgl"|Science/Research
"a3dsgl"|32-bit MS Windows (NT/2000/XP)
"a3dsgl"|WinXP
"a3dsgl"|Win32 (MS Windows)
"a3dsgl"|C#
"a3dsgl"|Planning
"a3dsgl"|All 32-bit MS Windows (95/98/NT/2000/XP)
"a3dsgl"|Web-based
"a3dsgl"|GNU General Public License (GPL)
"a3dsgl"|Win2K
"a3dsgl"|Graphics Conversion
"a3dsgl"|Viewers
"a-4"|System Administrators
"a-4"|All POSIX (Linux/BSD/UNIX-like OSes)
"a-4"|GNU General Public License (GPL)
"a-4"|Perl
"a-4"|Developers
"a-4"|Version Control
"a-4"|Alpha
"a4codegen"|Code Generators
"a4codegen"|Science/Research
"a4codegen"|Command-line
"a4codegen"|Developers
"a4codegen"|C
"a4codegen"|Beta
"a4codegen"|GNU Library or Lesser General Public License (LGPL)
"a4codegen"|OS Portable (Source code to work with many OS platforms)
"a4j"|OS Independent (Written in an interpreted language)
"a4j"|Developers
"a4j"|Java
"a4j"|Software Development
"a4j"|BSD License
"a4j"|Beta
"a4j"|Dynamic Content
"a4l"|All POSIX (Linux/BSD/UNIX-like OSes)
"a4l"|C++
"a4l"|Office/Business
"a4l"|X Window System (X11)
"a4l"|End Users/Desktop
"a4l"|Linux
"a4l"|GNU General Public License (GPL)
"a4l"|Planning
"a4l"|Other/Nonlisted Topic
"a4xmessage"|All POSIX (Linux/BSD/UNIX-like OSes)
"a4xmessage"|Tcl
"a4xmessage"|Beta
"a4xmessage"|Conferencing
"a4xmessage"|Artistic License
"a4xmessage"|Linux
"a4xmessage"|X Window System (X11)
"a6fw"|Web-based
"a6fw"|Developers
"a6fw"|XSL (XSLT/XPath/XSL-FO)
"a6fw"|Frameworks
"a6fw"|OS Independent (Written in an interpreted language)
"a6fw"|Java
"a6fw"|JavaScript
"a6fw"|Beta
"a6fw"|Java Swing
"a6fw"|GNU Library or Lesser General Public License (LGPL)
"a7xpg"|Side-Scrolling/Arcade Games
"a7xpg"|End Users/Desktop
"a7xpg"|All POSIX (Linux/BSD/UNIX-like OSes)
"a7xpg"|Linux
"a7xpg"|X Window System (X11)
"a7xpg"|Mature
"a7xpg"|Production/Stable
"a7xpg"|OSI-Approved Open Source
"aa33code"|OS Independent (Written in an interpreted language)
"aa33code"|Site Management
"aa33code"|Other Audience
"aa33code"|End Users/Desktop
"aa33code"|GNU General Public License (GPL)
"aa33code"|Web-based
"aa33code"|Dynamic Content
"aa33code"|Alpha
"aa33code"|PHP
"aa3d"|Pre-Alpha
"aa3d"|OS X
"aa3d"|Developers
"aa3d"|Win32 (MS Windows)
"aa3d"|GNU General Public License (GPL)
"aa3d"|Education
"aa3d"|3D Rendering
"aa3d"|C
"aa3d"|Science/Research
"aa3d"|Curses/Ncurses
"aa3d"|Games/Entertainment
"aa3d"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aa3d"|All POSIX (Linux/BSD/UNIX-like OSes)
"aaa4avalon"|Java
"aaa4avalon"|Developers
"aaa4avalon"|Software Development
"aaa4avalon"|Security
"aaa4avalon"|Apache Software License
"aaa4avalon"|Pre-Alpha
"aaaadmin"|PHP
"aaaadmin"|Systems Administration
"aaaadmin"|Planning
"aaaadmin"|System Administrators
"aaaadmin"|Perl
"aaaadmin"|OS Independent (Written in an interpreted language)
"aaaadmin"|GNU General Public License (GPL)
"aaaadmin"|Web-based
"aaaframework"|OS Independent (Written in an interpreted language)
"aaaframework"|BSD License
"aaaframework"|Inactive
"aaaframework"|Java
"aaaframework"|Security
"aaaframework"|Non-interactive (Daemon)
"aaaframework"|Software Development
"aabrowse"|End Users/Desktop
"aabrowse"|Alpha
"aabrowse"|All POSIX (Linux/BSD/UNIX-like OSes)
"aabrowse"|X Window System (X11)
"aabrowse"|GNU General Public License (GPL)
"aabrowse"|C++
"aabrowse"|Linux
"aabrowse"|Games/Entertainment
"aabsdbc"|Frameworks
"aabsdbc"|Code Generators
"aabsdbc"|GNU General Public License (GPL)
"aabsdbc"|C#
"aabsdbc"|Quality Assurance
"aabsdbc"|Developers
"aabsdbc"|Testing
"aabsdbc"|OS Portable (Source code to work with many OS platforms)
"aabsdbc"|Alpha
"aabsnorm"|C#
"aabsnorm"|.NET/Mono
"aabsnorm"|GNU General Public License (GPL)
"aabsnorm"|Information Technology
"aabsnorm"|Alpha
"aabsnorm"|Command-line
"aabsnorm"|OS Independent (Written in an interpreted language)
"aabsnorm"|Project is a templating system
"aabsnorm"|Code Generators
"aabsnorm"|Developers
"aabsnorm"|Object Oriented
"aabsnorm"|Frameworks
"aacls"|Education
"aacls"|Developers
"aacls"|LDAP
"aacls"|Public Domain
"aacls"|Other Audience
"aacls"|Telecommunications Industry
"aacls"|C
"aacls"|Production/Stable
"aacls"|OS Independent (Written in an interpreted language)
"aacls"|Non-interactive (Daemon)
"aacplayer"|Win2K
"aacplayer"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aacplayer"|WinXP
"aacplayer"|C++
"aacplayer"|GNU General Public License (GPL)
"aacplayer"|End Users/Desktop
"aacplayer"|Alpha
"aacplayer"|Players
"aacplayer"|32-bit MS Windows (NT/2000/XP)
"aacplayer"|Win32 (MS Windows)
"aacplugin"|X Window System (X11)
"aacplugin"|End Users/Desktop
"aacplugin"|Alpha
"aacplugin"|GNU General Public License (GPL)
"aacplugin"|Inactive
"aacplugin"|All POSIX (Linux/BSD/UNIX-like OSes)
"aacplugin"|GNU Library or Lesser General Public License (LGPL)
"aacplugin"|Players
"aacplugin"|C
"aacraid-22"|System Administrators
"aacraid-22"|Production/Stable
"aacraid-22"|GNU General Public License (GPL)
"aacraid-22"|C
"aacraid-22"|All POSIX (Linux/BSD/UNIX-like OSes)
"aacraid-22"|Linux
"aacraid-22"|Linux
"aacraid-22"|End Users/Desktop
"aac-xforms"|OS Independent (Written in an interpreted language)
"aac-xforms"|Web-based
"aac-xforms"|GNU General Public License (GPL)
"aac-xforms"|Pre-Alpha
"aac-xforms"|Developers
"aac-xforms"|Software Development
"aac-xforms"|Java
"aadml"|Python
"aadml"|OS Independent (Written in an interpreted language)
"aadml"|Developers
"aadml"|Science/Research
"aadml"|MIT License
"aadml"|Pre-Alpha
"aadml"|Mathematics
"a-ads-xml"|OS Independent (Written in an interpreted language)
"a-ads-xml"|Science/Research
"a-ads-xml"|Electronic Design Automation (EDA)
"a-ads-xml"|Developers
"a-ads-xml"|GNU Library or Lesser General Public License (LGPL)
"a-ads-xml"|Pre-Alpha
"aadventures"|All 32-bit MS Windows (95/98/NT/2000/XP)
"aadventures"|C++
"aadventures"|Pre-Alpha
"aadventures"|Role-Playing
"aadventures"|GNU General Public License (GPL)
"aadventures"|Win32 (MS Windows)
"aaf"|Production/Stable
"aaf"|Developers
"aaf"|Video
"aaf"|OS Portable (Source code to work with many OS platforms)
"aaf"|C++
"aaf"|Graphics
"aaf"|Sound/Audio
"aaiibot"|Artificial Intelligence
"aaiibot"|Python
"aaiibot"|OS Independent (Written in an interpreted language)
"aaiibot"|Internet Relay Chat
"aaiibot"|End Users/Desktop
"aaiibot"|Developers
"aaiibot"|Alpha
"aaiibot"|GNU General Public License (GPL)
"aaio"|Linux
"aaio"|C
"aaio"|Attribution Assurance License
"aaio"|OS X
"aaio"|Education
"aaio"|Production/Stable
"aaio"|All POSIX (Linux/BSD/UNIX-like OSes)
"aaio"|Software Development
"aaio"|Developers
"aai-portal"|System Administrators
"aai-portal"|Information Technology
"aai-portal"|GNU General Public License (GPL)
"aai-portal"|Production/Stable
"aai-portal"|Education
"aai-portal"|PHP
"aai-portal"|Developers
"aai-portal"|Web-based
"aai-portal"|Site Management
"aai-portal"|Dynamic Content
"aai-portal"|OS Independent (Written in an interpreted language)
"aajax"|JavaScript
"aajax"|Planning
