id	x	y
0	0	0
1	1	0
2	1	1
3	0	1
4	2	0
5	2	1
6	2	2
7	1	2
8	0	2
9	3	0
10	3	1
11	3	2
12	3	3
13	2	3
14	1	3
15	0	3
16	4	0
17	4	1
18	4	2
19	4	3
20	4	4
21	3	4
22	2	4
23	1	4
24	0	4
25	5	0
26	5	1
27	5	2
28	5	3
29	5	4
30	5	5
31	4	5
32	3	5
33	2	5
34	1	5
35	0	5
36	6	0
37	6	1
38	6	2
39	6	3
40	6	4
41	6	5
42	6	6
43	5	6
44	4	6
45	3	6
46	2	6
47	1	6
48	0	6
49	7	0
50	7	1
51	7	2
52	7	3
53	7	4
54	7	5
55	7	6
56	7	7
57	6	7
58	5	7
59	4	7
60	3	7
61	2	7
62	1	7
63	0	7
64	8	0
65	8	1
66	8	2
67	8	3
68	8	4
69	8	5
70	8	6
71	8	7
72	8	8
73	7	8
74	6	8
75	5	8
76	4	8
77	3	8
78	2	8
79	1	8
80	0	8
81	9	0
82	9	1
83	9	2
84	9	3
85	9	4
86	9	5
87	9	6
88	9	7
89	9	8
90	9	9
91	8	9
92	7	9
93	6	9
94	5	9
95	4	9
96	3	9
97	2	9
98	1	9
99	0	9
100	10	0
101	10	1
102	10	2
103	10	3
104	10	4
105	10	5
106	10	6
107	10	7
108	10	8
109	10	9
110	10	10
111	9	10
112	8	10
113	7	10
114	6	10
115	5	10
116	4	10
117	3	10
118	2	10
119	1	10
120	0	10
121	11	0
122	11	1
123	11	2
124	11	3
125	11	4
126	11	5
127	11	6
128	11	7
129	11	8
130	11	9
131	11	10
132	11	11
133	10	11
134	9	11
135	8	11
136	7	11
137	6	11
138	5	11
139	4	11
140	3	11
141	2	11
142	1	11
143	0	11
144	12	0
145	12	1
146	12	2
147	12	3
148	12	4
149	12	5
150	12	6
151	12	7
152	12	8
153	12	9
154	12	10
155	12	11
156	12	12
157	11	12
158	10	12
159	9	12
160	8	12
161	7	12
162	6	12
163	5	12
164	4	12
165	3	12
166	2	12
167	1	12
168	0	12
169	13	0
170	13	1
171	13	2
172	13	3
173	13	4
174	13	5
175	13	6
176	13	7
177	13	8
178	13	9
179	13	10
180	13	11
181	13	12
182	13	13
183	12	13
184	11	13
185	10	13
186	9	13
187	8	13
188	7	13
189	6	13
190	5	13
191	4	13
192	3	13
193	2	13
194	1	13
195	0	13
196	14	0
197	14	1
198	14	2
199	14	3
200	14	4
201	14	5
202	14	6
203	14	7
204	14	8
205	14	9
206	14	10
207	14	11
208	14	12
209	14	13
210	14	14
211	13	14
212	12	14
213	11	14
214	10	14
215	9	14
216	8	14
217	7	14
218	6	14
219	5	14
220	4	14
221	3	14
222	2	14
223	1	14
224	0	14
225	15	0
226	15	1
227	15	2
228	15	3
229	15	4
230	15	5
231	15	6
232	15	7
233	15	8
234	15	9
235	15	10
236	15	11
237	15	12
238	15	13
239	15	14
240	15	15
241	14	15
242	13	15
243	12	15
244	11	15
245	10	15
246	9	15
247	8	15
248	7	15
249	6	15
250	5	15
251	4	15
252	3	15
253	2	15
254	1	15
255	0	15
256	16	0
257	16	1
258	16	2
259	16	3
260	16	4
261	16	5
262	16	6
263	16	7
264	16	8
265	16	9
266	16	10
267	16	11
268	16	12
269	16	13
270	16	14
271	16	15
272	16	16
273	15	16
274	14	16
275	13	16
276	12	16
277	11	16
278	10	16
279	9	16
280	8	16
281	7	16
282	6	16
283	5	16
284	4	16
285	3	16
286	2	16
287	1	16
288	0	16
289	17	0
290	17	1
291	17	2
292	17	3
293	17	4
294	17	5
295	17	6
296	17	7
297	17	8
298	17	9
299	17	10
300	17	11
301	17	12
302	17	13
303	17	14
304	17	15
305	17	16
306	17	17
307	16	17
308	15	17
309	14	17
310	13	17
311	12	17
312	11	17
313	10	17
314	9	17
315	8	17
316	7	17
317	6	17
318	5	17
319	4	17
320	3	17
321	2	17
322	1	17
323	0	17
324	18	0
325	18	1
326	18	2
327	18	3
328	18	4
329	18	5
330	18	6
331	18	7
332	18	8
333	18	9
334	18	10
335	18	11
336	18	12
337	18	13
338	18	14
339	18	15
340	18	16
341	18	17
342	18	18
343	17	18
344	16	18
345	15	18
346	14	18
347	13	18
348	12	18
349	11	18
350	10	18
351	9	18
352	8	18
353	7	18
354	6	18
355	5	18
356	4	18
357	3	18
358	2	18
359	1	18
360	0	18
361	19	0
362	19	1
363	19	2
364	19	3
365	19	4
366	19	5
367	19	6
368	19	7
369	19	8
370	19	9
371	19	10
372	19	11
373	19	12
374	19	13
375	19	14
376	19	15
377	19	16
378	19	17
379	19	18
380	19	19
381	18	19
382	17	19
383	16	19
384	15	19
385	14	19
386	13	19
387	12	19
388	11	19
389	10	19
390	9	19
391	8	19
392	7	19
393	6	19
394	5	19
395	4	19
396	3	19
397	2	19
398	1	19
399	0	19
400	20	0
401	20	1
402	20	2
403	20	3
404	20	4
405	20	5
406	20	6
407	20	7
408	20	8
409	20	9
410	20	10
411	20	11
412	20	12
413	20	13
414	20	14
415	20	15
416	20	16
417	20	17
418	20	18
419	20	19
420	20	20
421	19	20
422	18	20
423	17	20
424	16	20
425	15	20
426	14	20
427	13	20
428	12	20
429	11	20
430	10	20
431	9	20
432	8	20
433	7	20
434	6	20
435	5	20
436	4	20
437	3	20
438	2	20
439	1	20
440	0	20
441	21	0
442	21	1
443	21	2
444	21	3
445	21	4
446	21	5
447	21	6
448	21	7
449	21	8
450	21	9
451	21	10
452	21	11
453	21	12
454	21	13
455	21	14
456	21	15
457	21	16
458	21	17
459	21	18
460	21	19
461	21	20
462	21	21
463	20	21
464	19	21
465	18	21
466	17	21
467	16	21
468	15	21
469	14	21
470	13	21
471	12	21
472	11	21
473	10	21
474	9	21
475	8	21
476	7	21
477	6	21
478	5	21
479	4	21
480	3	21
481	2	21
482	1	21
483	0	21
484	22	0
485	22	1
486	22	2
487	22	3
488	22	4
489	22	5
490	22	6
491	22	7
492	22	8
493	22	9
494	22	10
495	22	11
496	22	12
497	22	13
498	22	14
499	22	15
500	22	16
501	22	17
502	22	18
503	22	19
504	22	20
505	22	21
506	22	22
507	21	22
508	20	22
509	19	22
510	18	22
511	17	22
512	16	22
513	15	22
514	14	22
515	13	22
516	12	22
517	11	22
518	10	22
519	9	22
520	8	22
521	7	22
522	6	22
523	5	22
524	4	22
525	3	22
526	2	22
527	1	22
528	0	22
529	23	0
530	23	1
531	23	2
532	23	3
533	23	4
534	23	5
535	23	6
536	23	7
537	23	8
538	23	9
539	23	10
540	23	11
541	23	12
542	23	13
543	23	14
544	23	15
545	23	16
546	23	17
547	23	18
548	23	19
549	23	20
550	23	21
551	23	22
552	23	23
553	22	23
554	21	23
555	20	23
556	19	23
557	18	23
558	17	23
559	16	23
560	15	23
561	14	23
562	13	23
563	12	23
564	11	23
565	10	23
566	9	23
567	8	23
568	7	23
569	6	23
570	5	23
571	4	23
572	3	23
573	2	23
574	1	23
575	0	23
576	24	0
577	24	1
578	24	2
579	24	3
580	24	4
581	24	5
582	24	6
583	24	7
584	24	8
585	24	9
586	24	10
587	24	11
588	24	12
589	24	13
590	24	14
591	24	15
592	24	16
593	24	17
594	24	18
595	24	19
596	24	20
597	24	21
598	24	22
599	24	23
600	24	24
601	23	24
602	22	24
603	21	24
604	20	24
605	19	24
606	18	24
607	17	24
608	16	24
609	15	24
610	14	24
611	13	24
612	12	24
613	11	24
614	10	24
615	9	24
616	8	24
617	7	24
618	6	24
619	5	24
620	4	24
621	3	24
622	2	24
623	1	24
624	0	24
625	25	0
626	25	1
627	25	2
628	25	3
629	25	4
630	25	5
631	25	6
632	25	7
633	25	8
634	25	9
635	25	10
636	25	11
637	25	12
638	25	13
639	25	14
