Date,Open,High,Low,Close,Volume
19-Aug-04,100,104.06,95.96,100.34,22351900
20-Aug-04,101.01,109.08,100.5,108.31,11428600
23-Aug-04,110.75,113.48,109.05,109.4,9137200
24-Aug-04,111.24,111.6,103.57,104.87,7631300
25-Aug-04,104.96,108,103.88,106,4598900
26-Aug-04,104.95,107.95,104.66,107.91,3551000
27-Aug-04,108.1,108.62,105.69,106.15,3109000
30-Aug-04,105.28,105.49,102.01,102.01,2601000
31-Aug-04,102.3,103.71,102.16,102.37,2461400
1-Sep-04,102.7,102.97,99.67,100.25,4573700
2-Sep-04,99.19,102.37,98.94,101.51,7566900
3-Sep-04,100.95,101.74,99.32,100.01,2578800
7-Sep-04,101.01,102,99.61,101.58,2926700
8-Sep-04,100.74,103.03,100.5,102.3,2495300
9-Sep-04,102.53,102.71,101,102.31,2032900
10-Sep-04,101.6,106.56,101.3,105.33,4353800
13-Sep-04,106.63,108.41,106.46,107.5,3926000
14-Sep-04,107.45,112,106.79,111.49,5419900
15-Sep-04,110.56,114.23,110.2,112,5361900
16-Sep-04,112.34,115.8,111.65,113.97,4637800
17-Sep-04,114.42,117.49,113.55,117.49,4741000
20-Sep-04,116.95,121.6,116.77,119.36,5319700
21-Sep-04,119.81,120.42,117.51,117.84,3618000
22-Sep-04,117.4,119.67,116.81,118.38,3794400
23-Sep-04,118.84,122.63,117.02,120.82,4272100
24-Sep-04,120.94,124.1,119.76,119.83,4566300
27-Sep-04,119.56,120.88,117.8,118.26,3536600
28-Sep-04,121.3,127.4,120.21,126.86,8473000
29-Sep-04,126.7,135.02,126.23,131.08,15273500
30-Sep-04,129.9,132.3,129,129.6,6885900
1-Oct-04,130.8,134.24,128.9,132.58,7570000
4-Oct-04,135.25,136.87,134.03,135.06,6517900
5-Oct-04,134.66,138.53,132.24,138.37,7494100
6-Oct-04,137.55,138.45,136,137.08,6697400
7-Oct-04,136.92,139.88,136.55,138.85,7064600
8-Oct-04,138.72,139.68,137.02,137.73,5540300
11-Oct-04,137,138.86,133.85,135.26,5241300
12-Oct-04,134.44,137.61,133.4,137.4,5838600
13-Oct-04,143.32,143.55,140.08,140.9,9893000
14-Oct-04,141.01,142.38,138.56,142,5226300
15-Oct-04,144.93,145.5,141.95,144.11,6604000
18-Oct-04,143.2,149.2,141.21,149.16,7025200
19-Oct-04,150.5,152.4,147.35,147.94,9064000
20-Oct-04,148.03,148.99,139.6,140.49,11372700
21-Oct-04,144.4,150.13,141.62,149.38,14589500
22-Oct-04,170.54,180.17,164.08,172.43,36891900
25-Oct-04,176.4,194.43,172.55,187.4,32764200
26-Oct-04,186.34,192.64,180,181.8,22307100
27-Oct-04,182.72,189.52,181.77,185.97,13356500
28-Oct-04,186.68,194.39,185.6,193.3,14846800
29-Oct-04,198.89,199.95,190.6,190.64,21162500
1-Nov-04,193.55,197.67,191.27,196.03,12224900
2-Nov-04,198.78,199.25,193.34,194.87,11346300
3-Nov-04,198.18,201.6,190.75,191.67,13888700
4-Nov-04,188.44,190.4,183.35,184.7,14409600
5-Nov-04,181.98,182.3,168.55,169.35,19833100
8-Nov-04,170.93,175.44,169.4,172.55,11191800
9-Nov-04,174.1,175.2,165.27,168.7,11064200
10-Nov-04,170.67,172.52,166.33,167.86,10644000
11-Nov-04,169.13,183.75,167.57,183.02,14985500
12-Nov-04,185.23,189.8,177.4,182,16746100
15-Nov-04,180.45,188.32,178.75,184.87,11901500
16-Nov-04,177.5,179.47,170.83,172.54,20917400
17-Nov-04,169.02,177.5,169,172.5,18132900
18-Nov-04,170.29,174.42,165.73,167.54,16629600
19-Nov-04,169.1,169.98,166.52,169.4,8769300
22-Nov-04,164.47,169.5,161.31,165.1,12368200
23-Nov-04,167.97,170.83,166.5,167.52,12413300
24-Nov-04,174.82,177.21,172.51,174.76,15281000
26-Nov-04,175.8,180.03,175.32,179.39,6480100
29-Nov-04,180.36,182.95,177.51,181.05,10666600
30-Nov-04,180.71,183,180.25,181.98,7700000
1-Dec-04,181.95,182.5,179.55,179.96,7864100
2-Dec-04,179.9,181.51,178.55,179.4,6260900
3-Dec-04,179.95,181.06,177.6,180.4,5869200
6-Dec-04,179.13,180.7,176.02,176.29,6254000
7-Dec-04,176,176.2,170.55,171.43,6870900
8-Dec-04,170.35,173.68,168.73,169.98,7541800
9-Dec-04,170.25,173.5,168.47,173.43,7654000
10-Dec-04,173.43,174.88,171.29,171.65,4317200
13-Dec-04,172.17,173.18,169.45,170.45,4818600
14-Dec-04,171,178.82,169.6,178.69,11088400
15-Dec-04,177.99,180.69,176.66,179.78,11471000
16-Dec-04,176.95,180.49,175.95,176.47,8572800
17-Dec-04,176.76,180.5,176.55,180.08,7386200
20-Dec-04,182,188.46,181.87,185.02,9834500
21-Dec-04,186.31,187.88,183.4,183.75,5516300
22-Dec-04,183.9,186.85,183.01,186.3,3907000
23-Dec-04,187.45,188.6,186,187.9,3614600
27-Dec-04,189.15,193.3,189.1,191.91,6104100
28-Dec-04,192.11,193.55,191.01,192.76,4145800
29-Dec-04,191.78,193.52,191.78,192.9,2678100
30-Dec-04,192.97,198.23,191.85,197.6,5904300
31-Dec-04,199.23,199.88,192.56,192.79,7668500
3-Jan-05,197.4,203.64,195.46,202.71,15844200
4-Jan-05,201.4,202.93,193.48,194.5,13755900
5-Jan-05,193.45,196.9,192.23,193.51,8236600
6-Jan-05,195.08,195.9,187.72,188.55,10387100
7-Jan-05,190.64,194.25,188.78,193.85,9662900
10-Jan-05,194.5,198.1,191.83,195.06,7539600
11-Jan-05,195.62,197.71,193.18,193.54,6958700
12-Jan-05,194.33,195.93,190.5,195.38,8177800
13-Jan-05,195.38,197.39,194.05,195.33,6849400
14-Jan-05,196,200.01,194.13,199.97,9640300
18-Jan-05,200.97,205.02,198.66,203.9,13172600
19-Jan-05,204.65,205.3,196.71,197.3,11257700
20-Jan-05,192.5,196.25,192,193.92,9001600
21-Jan-05,194.54,195.36,188.12,188.28,9258400
24-Jan-05,188.69,189.33,180.32,180.72,14022700
25-Jan-05,181.94,182.24,176.29,177.12,10659200
26-Jan-05,179.27,189.41,179.15,189.24,12307900
27-Jan-05,188.76,188.86,185.2,188.08,6627400
28-Jan-05,190.02,194.7,186.34,190.34,12208200
31-Jan-05,193.69,196.36,191.72,195.62,9596700
1-Feb-05,194.38,196.66,190.63,191.9,18839000
2-Feb-05,215.55,216.8,203.66,205.96,32799300
3-Feb-05,205.99,213.37,205.81,210.86,12988100
4-Feb-05,206.47,207.75,202.6,204.36,14819300
7-Feb-05,205.26,206.4,195.51,196.03,12960400
8-Feb-05,196.96,200.02,194.53,198.64,11480000
9-Feb-05,200.76,201.6,189.46,191.58,17171500
10-Feb-05,191.97,192.21,185.25,187.98,18982700
11-Feb-05,186.66,192.32,186.07,187.4,13116000
14-Feb-05,182.85,193.08,181,192.99,38562200
15-Feb-05,193.6,199.84,193.08,195.23,25782800
16-Feb-05,194.7,199.33,194.3,198.41,16532300
17-Feb-05,197.83,199.75,196.81,197.9,10414400
18-Feb-05,198.51,198.84,196.66,197.95,8485900
22-Feb-05,196.5,198.9,190.39,191.37,13483700
23-Feb-05,193.3,194.48,188.66,193.95,15586000
24-Feb-05,183.37,189.85,182.23,188.89,25814300
25-Feb-05,189.15,189.92,185.51,185.87,9973500
28-Feb-05,186,189.87,185.85,187.99,7818400
1-Mar-05,189.29,189.75,182,186.06,9311200
2-Mar-05,185.95,187.67,184.36,185.18,7285500
3-Mar-05,186.13,187.75,184.31,187.01,7608600
4-Mar-05,186.7,187.25,185.07,185.9,6774100
7-Mar-05,187.78,189.6,187.03,188.81,8667400
8-Mar-05,189.1,189.85,184.97,185.2,8046100
9-Mar-05,184.21,184.65,180.16,181.35,11360400
10-Mar-05,181.01,181.2,177.4,179.98,10960500
11-Mar-05,180.44,180.95,177.15,177.8,8028300
14-Mar-05,178.33,178.4,172.57,174.99,11146600
15-Mar-05,175.3,180,174.21,178.61,10422100
16-Mar-05,176.7,178.61,175.01,175.6,7106300
17-Mar-05,177.13,179.64,175.8,179.29,8260600
18-Mar-05,178.81,180.4,178.31,180.04,7090000
21-Mar-05,179.27,182.17,177.25,180.88,7483700
22-Mar-05,181.18,181.94,177.85,178.6,5631700
23-Mar-05,177.97,180.24,177.97,178.98,4845000
24-Mar-05,180.7,180.86,179.2,179.25,3705200
28-Mar-05,181.68,184.8,180.95,181.42,8738000
29-Mar-05,181.05,183.28,178.07,179.57,6473000
30-Mar-05,180.64,181.45,179.6,180.45,6236100
31-Mar-05,177.95,181.39,177.64,180.51,6768600
1-Apr-05,181.76,182.95,179.99,180.04,6182000
4-Apr-05,179.95,185.32,179.84,185.29,8076400
5-Apr-05,187.73,190.26,187.57,188.57,8736700
6-Apr-05,189.24,189.65,187.58,189.22,5252600
7-Apr-05,188.78,194.62,188.64,193.76,9692200
8-Apr-05,193.69,195.1,191.45,192.05,5116600
11-Apr-05,193.09,194.8,192.32,193.23,5410500
12-Apr-05,193,194.42,189.41,193.96,7319600
13-Apr-05,193.47,194.32,189.73,192.93,6555800
14-Apr-05,193.27,194.36,190.1,191.45,6152700
15-Apr-05,190.1,190.34,184.66,185,11577400
18-Apr-05,184.58,187.88,183.49,186.97,6550300
19-Apr-05,189.33,192,188.03,191.4,8430000
20-Apr-05,198.58,200.5,195.91,198.1,15451500
21-Apr-05,200.42,205,199.32,204.22,17751900
22-Apr-05,222.9,224,214.26,215.81,33205100
25-Apr-05,217.82,224.74,217.52,223.53,19840000
26-Apr-05,220.22,222,218.29,218.75,17272000
27-Apr-05,217.99,220.85,216.74,219.78,10264800
28-Apr-05,219.5,222.08,217.71,219.45,8682800
29-Apr-05,221.91,222.25,217.82,220,9170200
2-May-05,222.05,223.7,220.21,222.29,9767400
3-May-05,221.85,228.15,221.32,226.19,17780200
4-May-05,227.23,229.88,227,228.5,12083500
5-May-05,228.62,228.62,225.88,226.98,7509600
6-May-05,228.4,229.25,226.47,228.02,6763900
9-May-05,228,228.5,225.43,226.02,5536800
